# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "16" "-p" "-t" "exon" "-g" "gene_id" "-a" "reference/AmoebaDB-61_NgruberiNEG-M.gtf" "data/mapping/Ng_01_mapping.bam" "data/mapping/Ng_02_mapping.bam" "data/mapping/Ng_03_mapping.bam" "data/mapping/Ng_04_mapping.bam" "data/mapping/Ng_05_mapping.bam" "data/mapping/Ng_06_mapping.bam" "data/mapping/Ng_07_mapping.bam" "data/mapping/Ng_08_mapping.bam" "data/mapping/Ng_09_mapping.bam" "data/mapping/Ng_10_mapping.bam" "data/mapping/Ng_11_mapping.bam" "data/mapping/Ng_12_mapping.bam" "data/mapping/Ng_13_mapping.bam" "data/mapping/Ng_14_mapping.bam" "data/mapping/Ng_15_mapping.bam" "data/mapping/Ng_16_mapping.bam" "data/mapping/Ng_17_mapping.bam" "data/mapping/Ng_19_mapping.bam" "data/mapping/Ng_21_mapping.bam" "-o" "data/feature_counts/counts.txt" 
Geneid	Chr	Start	End	Strand	Length	data/mapping/Ng_01_mapping.bam	data/mapping/Ng_02_mapping.bam	data/mapping/Ng_03_mapping.bam	data/mapping/Ng_04_mapping.bam	data/mapping/Ng_05_mapping.bam	data/mapping/Ng_06_mapping.bam	data/mapping/Ng_07_mapping.bam	data/mapping/Ng_08_mapping.bam	data/mapping/Ng_09_mapping.bam	data/mapping/Ng_10_mapping.bam	data/mapping/Ng_11_mapping.bam	data/mapping/Ng_12_mapping.bam	data/mapping/Ng_13_mapping.bam	data/mapping/Ng_14_mapping.bam	data/mapping/Ng_15_mapping.bam	data/mapping/Ng_16_mapping.bam	data/mapping/Ng_17_mapping.bam	data/mapping/Ng_19_mapping.bam	data/mapping/Ng_21_mapping.bam
GENE_79963	GG738871.1;GG738871.1	319123;319889	319835;320071	-;-	896	732	1483	469	1382	2860	2839	2945	2448	2768	2686	2943	2827	3003	4567	3649	3784	3958	4469	6107
GENE_79964	GG738871.1;GG738871.1	320491;320999	320960;323576	+;+	3048	92	147	29	217	195	179	149	175	807	706	691	814	809	657	597	651	791	709	1065
GENE_68265	GG738871.1;GG738871.1;GG738871.1;GG738871.1	323725;323847;324525;325010	323804;324482;324962;325112	+;+;+;+	1257	42	25	0	27	41	29	42	34	23	31	33	31	31	49	97	165	180	136	182
GENE_68266	GG738871.1	325443	326561	-	1119	128	272	59	268	430	381	391	328	502	453	634	478	529	697	624	621	686	552	921
GENE_68267	GG738871.1;GG738871.1	326741;327979	327934;329847	+;+	3063	16	18	0	14	37	26	40	43	104	91	122	128	128	47	96	114	130	37	63
GENE_36870	GG738871.1;GG738871.1;GG738871.1;GG738871.1	329914;330078;330216;330931	330035;330174;330884;331626	+;+;+;+	1584	161	147	17	41	21	16	14	21	492	442	445	407	492	74	38	58	55	97	96
GENE_68269	GG738871.1	331628	332638	-	1011	107	233	133	298	421	526	621	539	237	275	306	299	264	1900	1345	1506	1646	757	711
GENE_68270	GG738871.1;GG738871.1;GG738871.1;GG738871.1;GG738871.1;GG738871.1	332954;333121;333209;333395;334167;334298	333071;333166;333343;333804;334244;334791	+;+;+;+;+;+	1281	90	121	37	163	278	361	308	322	283	248	296	293	250	692	511	481	542	391	346
GENE_49537	GG738871.1	334813	338076	-	3264	258	411	251	499	371	310	333	376	511	633	737	570	611	339	465	613	785	2512	2795
GENE_2611	GG738871.1;GG738871.1	339253;339731	339689;340055	+;+	762	40	75	52	60	50	74	63	54	229	183	245	278	248	128	83	146	162	339	452
GENE_79967	GG738871.1	340074	340701	-	628	13	100	0	166	76	49	66	97	2923	4888	5370	4017	3850	17	15	10	21	289	279
GENE_68274	GG738871.1	341151	342152	+	1002	68	118	0	50	40	32	32	51	778	647	890	704	770	4	0	1	8	276	139
GENE_3398	GG738871.1	342467	342958	-	492	26	80	0	69	124	85	115	103	475	481	468	515	553	361	325	619	701	411	509
GENE_36877	GG738871.1	343271	345153	-	1883	107	327	24	353	186	172	182	246	352	446	456	457	435	1785	2084	2194	2940	563	770
GENE_49540	GG738871.1	345450	346004	+	555	12	1	0	0	0	0	0	2	164	156	193	158	182	5	0	3	9	3	2
GENE_79969	GG738871.1;GG738871.1;GG738871.1	346101;346349;346639	346297;346594;347363	+;+;+	1168	242	377	78	392	1027	1038	994	910	1342	1263	1492	1472	1410	1598	1661	2305	2859	1326	1751
GENE_79970	GG738871.1	347774	351644	+	3871	105	89	166	118	240	258	299	293	842	828	867	916	869	705	783	877	965	533	495
GENE_4772	GG738871.1;GG738871.1	352699;353017	352970;353173	-;-	429	0	1	0	0	0	0	0	0	2	2	1	0	1	0	0	0	0	0	0
GENE_68280	GG738871.1	353620	355620	+	2001	189	424	114	460	884	897	1005	905	1851	1706	1535	1901	1985	894	992	1304	1497	1739	2109
GENE_49543	GG738871.1	356222	357367	+	1146	93	236	103	262	354	325	348	307	420	445	490	425	490	143	182	284	384	1797	1489
GENE_68282	GG738871.1;GG738871.1	357657;358865	358832;358906	+;+	1218	16	43	22	43	157	125	141	111	240	303	298	309	266	119	157	221	239	79	99
GENE_79971	GG738871.1	359369	360716	-	1348	0	3	16	3	3	0	3	3	423	399	626	491	488	21	3	9	7	23	38
GENE_49545	GG738871.1	361013	362155	+	1143	0	1	0	0	1	0	1	1	308	411	502	379	330	8	0	2	5	1	3
GENE_68285	GG738871.1;GG738871.1	363433;363795	363754;364015	-;-	543	53	101	22	33	23	0	0	2	380	365	358	365	451	3	3	8	7	2	0
GENE_68286	GG738871.1	364142	365809	-	1668	1510	2897	447	3861	1853	1773	1308	680	412	521	630	477	520	446	296	236	229	85	4
GENE_34061	GG738871.1;GG738871.1;GG738871.1;GG738871.1	367673;367851;369190;369442	367784;369144;369381;369535	-;-;-;-	1692	557	833	114	1555	451	429	398	586	1219	1076	1318	1317	1243	2535	2713	2086	2542	881	949
GENE_68288	GG738871.1;GG738871.1	369831;370633	370583;371067	+;+	1188	241	384	91	628	373	296	273	263	349	300	364	400	373	284	284	374	396	1482	1208
GENE_34072	GG738871.1	372084	372446	+	363	18275	20894	19987	22189	26991	27559	26481	22390	17619	17737	20824	18848	19537	41790	22065	20996	22372	11332	2419
GENE_68290	GG738871.1;GG738871.1;GG738871.1	373186;373831;374379	373655;374340;374748	-;-;-	1350	56	133	40	141	200	214	229	201	381	399	412	444	376	835	804	917	1011	469	466
GENE_3606	GG738871.1;GG738871.1	375028;375389	375333;375727	-;-	645	57	170	27	74	121	123	108	144	94	60	97	97	76	691	462	626	737	574	496
GENE_320	GG738871.1;GG738871.1	376484;376649	376603;378475	+;+	1947	234	490	48	526	717	755	803	691	967	928	1047	1071	986	180	1009	1107	1311	156	254
GENE_68293	GG738871.1;GG738871.1;GG738871.1	380017;381175;381328	381130;381267;381383	-;-;-	1263	309	402	73	306	552	425	458	420	468	440	477	480	510	1185	1296	1311	1458	859	1062
GENE_4035	GG738871.1	381544	382167	+	624	0	14	12	9	29	22	24	34	95	65	80	89	98	64	85	127	130	74	106
GENE_68295	GG738871.1	383047	383517	-	471	119	284	141	83	66	22	32	14	1044	1042	1152	1102	1191	6	3	18	21	5	3
GENE_1137	GG738871.1	384085	385449	-	1365	9	71	34	47	98	63	95	84	370	344	402	423	413	178	255	256	312	342	474
GENE_79976	GG738871.1	386769	387732	+	964	1237	1845	432	2533	812	778	672	756	1982	1394	1699	1908	1874	1438	1537	1861	1633	5858	5797
GENE_68298	GG738871.1	387839	388894	+	1056	33	27	0	38	25	22	10	13	130	131	132	109	112	53	60	44	56	47	30
GENE_4996	GG738871.1	389224	389628	-	405	839	1066	303	941	1285	1371	1407	1364	1880	1950	2242	2080	2199	4027	2325	2113	2332	2142	1756
GENE_33972	GG738871.1;GG738871.1;GG738871.1	391856;392268;392730	392183;392555;395167	+;+;+	3054	90	203	69	215	270	249	285	257	403	412	408	432	405	995	922	893	1124	492	459
GENE_68301	GG738871.1	395499	396557	+	1059	0	0	0	0	0	0	1	0	1	1	2	0	1	5	2	5	6	0	2
GENE_79978	GG738871.1;GG738871.1	396579;398452	398426;399162	-;-	2559	121	256	336	257	572	504	464	530	1609	1467	1428	1513	1521	1225	1920	2407	2579	558	566
GENE_58225	GG738871.1;GG738871.1	399734;399938	399857;401989	+;+	2176	1107	1477	410	1381	3076	2789	2840	2270	7697	6500	7676	8068	8177	3331	3166	2944	3560	1979	2878
GENE_68304	GG738871.1;GG738871.1;GG738871.1;GG738871.1;GG738871.1	405118;405278;405934;407617;407714	405181;405897;407492;407667;407840	-;-;-;-;-	2421	911	1746	127	1530	2041	1513	1372	1453	4489	3901	4491	4436	4839	13	5	23	33	1887	2383
GENE_49563	GG738871.1	408544	410658	-	2115	50	78	5	70	57	40	61	59	8	12	16	15	10	3	0	2	2	45	54
GENE_79980	GG738871.1	411940	416418	-	4479	148	255	215	340	418	338	417	437	725	666	671	739	800	2000	1673	1588	1793	1595	2389
GENE_68307	GG738871.1	416777	417119	-	343	0	0	0	0	1	1	0	0	0	0	2	7	1	8	0	1	1	2	75
GENE_77008	GG739348.1;GG739348.1	8;568	520;1523	-;-	1469	41	51	2	81	81	64	57	48	64	66	74	82	72	8	64	45	43	69	66
GENE_76446	GG738992.1	796	1164	+	369	0	2	0	2	1	1	3	0	6	6	4	3	4	2	3	2	2	2	1
GENE_54686	GG738992.1	5062	6168	-	1107	0	5	0	10	14	23	28	17	99	70	74	84	80	7	31	55	44	9	19
GENE_76448	GG738992.1;GG738992.1;GG738992.1;GG738992.1;GG738992.1;GG738992.1	6689;7731;8041;8293;8738;8967	7475;8002;8092;8617;8922;9016	+;+;+;+;+;+	1671	0	9	0	9	37	34	23	20	98	84	120	88	98	30	36	74	77	33	28
GENE_76449	GG738992.1;GG738992.1;GG738992.1;GG738992.1;GG738992.1	9156;10212;11157;11869;12484	10122;11046;11694;12428;12826	-;-;-;-;-	3243	49	189	26	110	235	287	268	219	434	418	418	450	413	301	647	543	581	160	132
GENE_76529	GG739017.1	155	529	+	375	1	1	1	1	1	1	1	1	2	3	8	3	3	3	0	2	2	0	1
GENE_76530	GG739017.1	2519	4093	-	1575	1	5	39	12	12	17	19	12	22	27	36	40	41	31	33	48	56	46	67
GENE_54734	GG739017.1	6182	6755	+	574	311	409	69	501	487	341	439	494	1028	1224	1373	1129	1106	460	1375	1336	1541	251	347
GENE_76765	GG739136.1	6236	7486	-	1251	0	11	0	8	9	18	13	11	60	58	50	71	57	2	32	50	68	7	25
GENE_76619	GG739052.1	1010	1723	-	714	34	60	0	47	18	19	24	17	90	158	368	110	111	0	0	2	0	26	18
GENE_76620	GG739052.1;GG739052.1;GG739052.1;GG739052.1;GG739052.1	2213;6738;6932;7564;7985	2407;6888;7295;7921;8785	-;-;-;-;-	1869	305	305	28	360	565	682	707	526	102	113	102	93	110	5	25	39	21	5	3
GENE_76806	GG739163.1	124	800	+	677	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	4
GENE_66312	GG738862.1	71	404	-	334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GENE_66313	GG738862.1	4861	6165	+	1305	27	16	0	18	47	43	69	38	91	80	103	103	115	111	119	150	155	70	78
GENE_48262	GG738862.1	6279	7313	-	1035	11	11	0	8	26	29	20	29	125	138	111	123	114	45	57	65	61	90	130
GENE_66315	GG738862.1;GG738862.1;GG738862.1;GG738862.1;GG738862.1	9275;10377;11277;12823;13566	10229;10399;11820;13460;14222	+;+;+;+;+	2817	1	10	1	21	13	21	25	22	332	319	403	360	395	139	200	137	163	78	78
GENE_66316	GG738862.1	14461	14946	+	486	1	23	0	9	30	22	19	7	89	98	170	138	124	83	30	38	37	26	17
GENE_57722	GG738862.1;GG738862.1;GG738862.1	14985;17942;18355	17895;18303;18602	-;-;-	3521	250	448	134	506	747	787	848	815	2081	1813	1949	2135	2281	602	1580	1661	1952	759	1235
GENE_2003	GG738862.1;GG738862.1	19124;19246	19199;20045	+;+	876	535	1192	544	1070	1377	1198	1095	1035	7197	6477	7767	7497	7694	2099	2020	1773	1898	3250	6846
GENE_66319	GG738862.1;GG738862.1;GG738862.1	20586;20864;21176	20817;21091;21405	+;+;+	690	0	1	0	0	0	0	0	0	670	640	745	661	688	0	0	0	0	0	0
GENE_48267	GG738862.1	22796	23263	-	468	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0
GENE_48268	GG738862.1	24441	27377	-	2937	121	171	43	146	300	290	287	262	431	447	479	470	483	362	531	482	546	148	170
GENE_66322	GG738862.1	27600	29495	+	1896	180	451	32	795	252	263	274	275	404	377	376	388	408	529	631	521	641	312	417
GENE_66323	GG738862.1	29672	30460	-	789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GENE_66324	GG738862.1	31163	31744	+	582	0	9	0	3	13	16	14	23	69	68	81	64	84	224	136	153	150	55	23
GENE_79345	GG738862.1	31795	32725	-	931	48	17	0	17	2	0	6	12	5707	4979	6741	5603	5772	5	3	2	3	113	33
GENE_48272	GG738862.1	33338	36433	-	3096	16	22	36	13	17	15	33	62	876	739	676	792	827	216	179	98	122	71	77
GENE_3404	GG738862.1;GG738862.1	38276;38453	38342;39120	+;+	735	162	232	71	181	271	265	212	235	606	568	617	588	658	683	729	967	1103	535	716
GENE_48274	GG738862.1	40917	41852	+	936	113	76	76	88	176	166	159	180	831	763	924	918	812	538	426	443	519	580	846
GENE_79347	GG738862.1	44578	48009	-	3432	571	1001	319	1037	1143	1092	1142	1154	2090	2028	2074	2275	2280	2333	2207	2589	2637	2459	3553
GENE_79348	GG738862.1	48573	49208	-	636	4745	6860	1508	4932	1914	610	362	143	1536	1749	1956	1677	1712	318	126	167	225	236	70
GENE_t268	GG738862.1	49788	49859	-	72	0	2	0	1	0	0	0	0	3	10	9	12	10	1	0	0	1	0	1
GENE_t267	GG738862.1	50091	50161	-	71	0	0	0	0	0	0	0	0	11	37	24	20	15	17	3	3	2	8	7
GENE_79349	GG738862.1;GG738862.1	51421;52083	52036;53259	+;+	1793	11077	18113	2279	28290	37936	36498	33967	33727	61010	66426	80655	70320	63608	61299	87147	45160	54572	14057	8324
GENE_79350	GG738862.1;GG738862.1	52994;53540	53465;54394	-;-	1327	52	152	207	59	41	18	5	6	3054	2664	2660	2916	3197	17	6	15	28	5	2
GENE_44488	GG738862.1	55123	55593	+	471	1955	2269	387	3047	843	481	311	114	1223	1237	1296	1398	1461	349	107	25	36	22	2
GENE_66335	GG738862.1;GG738862.1	55876;56367	56307;56471	+;+	537	423	607	139	648	683	732	687	626	495	550	646	579	596	882	717	983	992	928	843
GENE_57728	GG738862.1	56903	61898	+	4996	1430	3262	346	2989	2707	2867	3149	3168	2842	3007	3089	3196	2997	10349	12192	9075	11737	2106	761
GENE_79352	GG738862.1	62632	64916	+	2285	394	511	347	522	1403	1537	1575	1265	996	1092	1352	1155	1172	1241	1274	1207	1467	695	636
GENE_66338	GG738862.1	65940	66707	+	768	12	57	11	57	152	203	207	143	2	0	2	1	5	15	97	212	282	7	1
GENE_32872	GG738862.1;GG738862.1;GG738862.1	66688;69060;69490	69019;69438;70138	+;+;+	3360	733	875	225	814	1774	1895	1835	1632	7	3	13	9	4	1527	1047	1516	1807	1060	100
GENE_66340	GG738862.1;GG738862.1;GG738862.1;GG738862.1	70813;71056;71194;71700	70985;71124;71663;72349	+;+;+;+	1362	0	0	0	0	0	0	0	0	1	0	2	0	5	1	0	1	3	0	0
GENE_t266	GG738862.1	72723	72795	-	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
GENE_66341	GG738862.1	73216	74553	+	1338	0	5	0	5	21	18	32	15	60	72	72	85	87	41	31	32	50	23	5
GENE_66342	GG738862.1	74928	76148	+	1221	0	23	0	18	20	28	24	34	506	548	595	520	562	95	69	83	91	271	389
GENE_57731	GG738862.1	76367	78533	+	2167	109	74	69	71	138	134	122	139	875	849	832	805	880	461	440	546	685	377	309
GENE_79355	GG738862.1	80200	81510	+	1311	22	27	34	27	42	50	42	42	2329	1820	1979	2184	2311	121	107	122	141	139	156
GENE_48287	GG738862.1	82065	83195	+	1131	180	226	104	207	384	310	316	317	407	360	343	365	405	637	597	781	900	1655	1431
GENE_66348	GG738862.1;GG738862.1;GG738862.1	83699;84030;84350	83961;84250;84999	+;+;+	1134	0	1	0	0	6	1	1	0	2	5	8	9	7	6	4	1	2	15	23
GENE_48288	GG738862.1;GG738862.1	85205;86477	86329;86605	+;+	1254	96	111	9	167	401	612	610	498	52	36	62	40	49	329	297	425	399	264	120
GENE_66350	GG738862.1	86592	86942	+	351	0	0	0	1	0	0	1	0	10	5	11	11	11	2	0	2	1	18	10
GENE_66351	GG738862.1	87454	87912	-	459	0	8	1	4	10	10	6	4	99	70	87	79	84	20	11	12	9	17	38
GENE_32896	GG738862.1;GG738862.1	88760;89645	89472;90539	+;+	1608	2746	3997	1052	4228	9842	10178	9998	8064	2781	2663	3191	2999	3103	5697	5703	5351	5980	5828	10077
GENE_32831	GG738862.1;GG738862.1	94568;94739	94687;95431	+;+	813	17	64	33	53	51	59	74	99	72	56	88	80	84	415	127	196	194	185	237
GENE_79357	GG738862.1	96213	97422	+	1210	27	24	0	14	33	28	29	43	137	144	153	212	194	20	33	72	83	9	9
GENE_79358	GG738862.1	97546	98430	+	885	26	4	30	5	15	10	20	21	62	54	63	62	45	39	10	20	19	65	77
GENE_36330	GG738862.1	99441	100111	+	671	146	361	171	285	1353	1078	1037	770	2567	2632	3401	2714	2768	1925	1172	911	1104	515	511
GENE_66356	GG738862.1;GG738862.1	100201;103142	103091;103556	+;+	3306	53	105	48	91	106	92	117	135	265	214	211	248	294	190	211	335	343	378	450
GENE_38829	GG738862.1;GG738862.1;GG738862.1	104416;104827;104933	104697;104887;106493	+;+;+	1904	616	668	147	721	1104	921	1030	1134	8338	8221	9170	8997	9180	4116	4551	3778	4325	1482	1429
GENE_3498	GG738862.1;GG738862.1	107120;107562	107444;107698	+;+	462	0	8	40	14	79	89	94	73	42	34	45	60	51	38	228	261	266	4	6
GENE_79362	GG738862.1;GG738862.1	108567;108817	108776;110456	+;+	1850	7372	8125	6903	6826	11471	10498	10322	9255	486	529	580	482	524	5800	4441	6867	9205	3090	505
GENE_t254	GG738862.1	110509	110582	+	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GENE_32901	GG738862.1;GG738862.1;GG738862.1	111811;112138;112568	112093;112522;112742	+;+;+	843	889	1247	63	1076	1143	985	844	749	1400	1456	1716	1436	1491	551	264	263	331	581	741
GENE_66361	GG738862.1	113649	114551	+	903	14	23	22	32	70	71	64	65	112	90	110	101	106	277	304	349	355	83	77
GENE_57740	GG738862.1	114623	115416	-	794	8	4	0	3	0	3	4	3	284	224	291	276	288	1	0	1	1	27	7
GENE_79365	GG738862.1	115863	117632	-	1770	50	116	70	141	227	278	271	304	772	758	738	834	864	691	1086	1186	1269	224	190
GENE_48298	GG738862.1	118281	119405	+	1125	20	65	3	89	111	139	99	90	134	122	189	151	153	80	31	20	19	125	248
GENE_66365	GG738862.1	119754	120299	-	546	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	6	2	0	0
GENE_48300	GG738862.1;GG738862.1	120575;121803	121444;122114	-;-	1182	0	0	0	0	0	0	0	0	2	0	2	1	1	0	0	0	0	0	0
GENE_t255	GG738862.1	123008	123078	+	71	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
GENE_79366	GG738862.1;GG738862.1	123429;123986	123878;125384	+;+	1849	200	235	30	181	194	161	181	271	1316	1432	1376	1516	1489	287	336	675	876	802	882
GENE_66369	GG738862.1;GG738862.1	125370;125720	125669;126157	-;-	738	30	23	0	5	6	3	1	3	170	156	165	183	195	2	0	2	5	9	3
GENE_36339	GG738862.1	126394	127042	+	649	983	1230	682	1719	3465	4189	4193	3820	2195	2354	2692	2494	2257	10661	6527	8745	9448	4088	2891
GENE_79368	GG738862.1;GG738862.1;GG738862.1	127261;127740;128315	127680;128274;128874	+;+;+	1515	697	1001	112	1697	663	642	630	550	2783	2493	2715	2886	2965	1458	2224	1134	1256	1736	2232
GENE_66372	GG738862.1	129173	130324	+	1152	148	207	12	221	130	123	121	93	559	501	609	586	578	92	223	202	236	392	763
GENE_66373	GG738862.1	130761	132899	+	2139	133	143	48	128	62	53	76	71	414	472	519	476	490	147	185	241	193	429	509
GENE_79369	GG738862.1;GG738862.1	133269;133845	133805;134453	-;-	1146	6022	6497	6099	8027	21702	20542	18706	17673	15282	13891	16759	15506	15489	32228	26461	29694	31392	6501	7383
GENE_66375	GG738862.1	139606	140646	-	1041	69	61	0	101	287	313	362	266	127	151	163	152	151	999	745	704	733	59	2
GENE_79370	GG738862.1;GG738862.1	141289;142512	142471;143434	-;-	2106	1599	2751	273	4241	2078	1917	1766	2160	1921	1767	1877	2012	1846	4254	5977	3956	4178	2334	3067
GENE_66378	GG738862.1	144335	145363	+	1029	26	108	24	170	168	192	182	200	341	301	312	325	314	178	170	214	235	243	218
GENE_79372	GG738862.1	145520	146266	-	747	112	265	203	202	189	175	198	201	2633	2802	3002	2881	3007	1585	1955	1275	1515	365	451
GENE_66380	GG738862.1	146953	148224	+	1272	395	583	179	751	529	617	584	428	542	574	556	647	552	395	414	530	480	949	1766
GENE_t256	GG738862.1	148338	148410	+	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GENE_48307	GG738862.1	148519	150330	+	1812	32	92	60	88	121	123	145	162	139	143	162	151	168	511	596	722	724	187	116
GENE_t257	GG738862.1	150853	150925	+	73	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4
GENE_66382	GG738862.1	152052	152666	+	615	0	35	33	19	39	39	41	31	83	72	82	94	92	93	75	148	151	112	233
GENE_66383	GG738862.1	152984	154840	-	1857	166	348	37	296	304	259	281	250	397	393	423	377	440	240	171	251	258	745	1492
GENE_32910	GG738862.1;GG738862.1	155901;156077	156024;156450	+;+	498	4067	6180	1631	6039	9759	12129	11760	10281	5011	5284	5947	5310	5787	32786	23865	23600	24362	13764	18161
GENE_66385	GG738862.1	156862	158490	+	1629	15	68	0	62	55	68	83	78	53	52	53	59	61	16	74	85	108	48	21
GENE_66386	GG738862.1	158731	159141	+	411	42	21	39	16	35	26	39	14	14	16	15	11	13	78	26	32	31	134	132
GENE_66387	GG738862.1;GG738862.1;GG738862.1;GG738862.1;GG738862.1;GG738862.1	159409;159711;160193;160429;160585;160784	159532;160148;160383;160535;160739;160848	+;+;+;+;+;+	1080	233	454	201	451	736	787	772	830	1354	1601	1723	1521	1519	1741	1451	1559	1895	1730	1080
GENE_66388	GG738862.1	161102	162838	+	1737	1	10	38	8	1	3	0	0	2912	2424	2897	3018	3072	7	5	4	1	23	6
GENE_66389	GG738862.1	162880	165036	-	2157	471	740	119	886	1263	1255	1243	1054	2423	2479	2470	2635	2648	1679	2324	2183	2481	1042	1408
GENE_79374	GG738862.1	165353	166987	-	1635	241	352	76	314	435	326	265	239	821	712	859	793	809	368	432	588	623	280	528
GENE_5552	GG738862.1;GG738862.1	167263;167696	167474;167753	-;-	270	5282	8191	2425	11324	10826	11975	11885	10814	23285	22727	25605	24065	24537	32577	17324	16224	16559	15499	21407
GENE_79376	GG738862.1;GG738862.1	168026;168441	168392;168775	-;-	702	88	198	91	287	411	401	419	324	716	647	759	859	764	902	557	926	1016	572	597
GENE_57747	GG738862.1;GG738862.1	168843;169802	169750;171396	-;-	2503	747	1172	390	1517	956	841	903	825	2245	2424	2461	2572	2550	2673	2991	3255	3775	1669	1557
GENE_79378	GG738862.1	171977	174896	+	2920	282	707	172	625	628	467	438	328	826	791	873	814	867	1096	1288	1042	1122	876	1986
GENE_4923	GG738862.1	175959	176258	+	300	0	0	0	4	0	0	0	0	0	0	0	1	3	0	0	0	0	2	0
GENE_66396	GG738862.1	178564	179157	-	594	70	118	0	157	67	56	50	52	50	70	62	65	79	67	78	109	161	398	597
GENE_79379	GG738862.1	179165	180488	-	1324	7550	13663	1614	13567	12697	10603	10468	9465	9049	7906	10677	8828	9243	2351	2696	1813	2084	20461	19084
GENE_t265	GG738862.1	180967	181039	-	73	104	95	29	124	51	65	59	59	79	58	61	65	65	40	12	10	12	164	94
GENE_66398	GG738862.1	181634	182734	+	1101	0	2	0	4	0	2	0	1	2	1	3	4	4	5	4	1	3	46	111
GENE_66399	GG738862.1;GG738862.1	183866;184605	184558;185009	-;-	1098	408	500	161	634	622	572	556	539	1290	1208	1403	1416	1290	1394	1487	1555	1729	1254	1379
GENE_66400	GG738862.1;GG738862.1;GG738862.1	185558;185867;186713	185812;186660;188420	+;+;+	2757	1362	2437	354	2960	1641	1478	1519	1573	5371	4873	5584	5483	5859	2060	2668	2641	2833	3561	4332
GENE_66401	GG738862.1	188611	189327	+	717	38	74	63	59	44	34	39	45	20	18	26	15	18	103	88	85	105	232	299
GENE_66402	GG738862.1	189654	190763	+	1110	27	23	0	32	16	29	27	26	32	27	30	40	42	39	22	65	50	131	106
GENE_66403	GG738862.1	191446	192744	+	1299	0	4	0	6	2	2	2	6	50	50	73	51	53	8	8	24	15	21	3
GENE_66404	GG738862.1	192991	193452	-	462	0	0	0	1	3	3	8	2	17	25	15	23	20	19	4	8	16	18	2
GENE_66405	GG738862.1	196146	197432	+	1287	0	2	0	7	3	0	2	6	14	4	11	12	3	9	36	46	36	31	33
GENE_66406	GG738862.1	199187	200716	+	1530	23	31	0	49	70	82	70	76	178	260	334	194	194	148	78	81	139	130	193
GENE_66407	GG738862.1	201046	202527	+	1482	0	1	0	2	1	3	3	5	30	39	37	33	29	165	74	7	10	39	7
GENE_48319	GG738862.1	202745	204181	+	1437	28	59	0	55	20	26	16	18	2	0	4	2	3	11	13	20	10	116	10
GENE_66409	GG738862.1	204665	205264	+	600	24	3	17	4	33	14	28	22	84	97	108	99	72	17	8	18	33	66	139
GENE_66410	GG738862.1;GG738862.1;GG738862.1;GG738862.1;GG738862.1	205940;206336;206663;206793;207865	206261;206539;206691;207820;208585	+;+;+;+;+	2304	163	233	58	217	172	97	99	50	234	203	206	260	238	87	55	65	59	118	95
GENE_66411	GG738862.1	208735	209859	-	1125	107	213	41	263	97	90	74	63	524	491	548	549	550	297	143	145	191	298	281
GENE_66412	GG738862.1	210586	211698	-	1113	73	136	0	252	111	75	59	36	315	285	301	380	390	30	78	88	137	20	20
GENE_66413	GG738862.1	213399	214133	+	735	32	38	33	68	21	16	19	44	45	52	40	54	40	101	77	108	56	34	114
GENE_66414	GG738862.1;GG738862.1;GG738862.1	214402;215219;215336	215093;215284;215774	-;-;-	1197	204	176	70	163	54	8	12	7	332	250	261	293	288	2	0	7	4	3	16
GENE_36352	GG738862.1;GG738862.1	220707;221280	221126;223689	+;+	2830	9437	17272	843	18735	14225	14181	13104	9603	10685	12481	18356	11802	12297	7826	8111	5260	5751	2655	2343
GENE_57752	GG738862.1	224177	225301	-	1125	588	990	252	940	1308	1029	1097	971	1675	1371	1653	1587	1663	1961	1631	1719	1941	5229	3116
GENE_32906	GG738862.1;GG738862.1	226665;228943	226995;229145	+;+	534	316	353	37	145	48	11	9	16	1147	910	1059	1046	1194	17	11	9	12	7	0
GENE_36353	GG738862.1;GG738862.1;GG738862.1	229144;229715;230303	229638;230233;232018	-;-;-	2730	19	11	11	19	53	30	42	28	110	113	116	110	128	129	202	319	337	60	9
GENE_32836	GG738862.1	232363	233292	+	930	733	1302	209	1358	1390	1345	1354	1285	1951	2152	2369	2204	2174	1793	2208	1743	1874	6224	10225
GENE_66420	GG738862.1	233486	234088	+	603	82	82	35	60	42	12	4	1	314	283	281	291	331	4	7	10	7	20	24
GENE_79385	GG738862.1	234305	236862	+	2558	380	605	474	333	218	63	41	16	1374	1313	1227	1306	1617	51	56	27	33	181	456
